"lot_title_en";"lot_description_en";"category_level_1_name_en";"lot_url_en";"lot_images_image_1";"lot_images_image_2";"lot_images_image_3";"lot_id";"lot_last_bid_euro";"lot_close_time_cet"
"Ancient Egyptian Necklace made of Crystal and Faience Mummy beads with Stone and Carnelian Poppy amulets and Jasper - 46 cm (No Reserve Price)";"IMPORTANT!<br>Due to new custom regulations we can no longer ship outside the E.U. Please make sure you have an EU shipping address before bidding.<br><br>- Strung on modern wire with Gold Filled Silver Lobster Lock (925).<br><br>- Total length: 46 cm. Hanger: 3.5 cm. Average bead size: 3-4 mm.<br><br>Registered shipping.<br><br>Provenance/Known History:<br><br>Ancient Egyptian Crystal and Faience Mummy beads: Ex William Ohly 1883-1955, Abbey Museum, New Barnet, by descent. After that A&O Gallery, UK.<br><br>Ancient Egyptian Poppy and Date amulets: Ex. Private UK collection. Collected before 1970. After that A.A. Gallery, UK.<br><br>Important information:<br><br>- A declaration of authenticity by my shop is provided with this lot.<br><br>- Invoices, import- and export papers etc. will not be shared with customers.<br><br>- Please do not pay for a won item before you are finished bidding in the auction. The system will not be able to combine your orders into one shipping if all items aren't paid at once.";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F98928670";"https://assets.catawiki.nl/assets/2025/10/30/7/3/6/736f0f2f-3cdc-4d6f-8009-e81ced5e9f57.jpg";"https://assets.catawiki.nl/assets/2025/10/30/b/a/4/ba453326-28b0-4296-b586-652e3d95509c.jpg";"https://assets.catawiki.nl/assets/2025/10/30/c/6/c/c6ce5e0b-8f1a-4d5a-992c-3f51501014ef.jpg";"98928670";"";"2025-11-09 17:09:40"
"Nomads Silver, Stunning red garnet stone Ring (No Reserve Price)";"A Top Silver Nomaden Ring 9-13 AD<br>Stunning red garnet<br>Very high condition<br><br>Weight: 5.29 grams<br>Size: 18.7 x 18.6 mm<br>Silver<br>See images for your own impression.<br>Own private collection inherited from Grandfather, who built the collection in the 1960's """;"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F98897545";"https://assets.catawiki.nl/assets/2025/10/29/a/9/9/a990e396-7e8d-4a5e-a532-92de93c26bd2.jpg";"https://assets.catawiki.nl/assets/2025/10/29/6/9/b/69b54806-3ddd-4496-82a5-2e5d0e242b49.jpg";"https://assets.catawiki.nl/assets/2025/10/29/c/d/d/cddcecbd-98cb-4734-8d8b-532220d3331f.jpg";"98897545";"";"2025-11-09 17:41:05"
"Ancient Roman Glass, Stone Ancient Roman Glass & Stone Beads Necklace (100 B.C. - 100 A.D.) (No Reserve Price)";"Ancient Roman Glass & Stone Beads Necklace in Chrome-Plated Modern Setting (100 B.C. - 100 A.D.)<br><br>Period:<br>Late Roman Republic to Early Roman Empire, circa 100 B.C. - 100 A.D.<br><br>Description:<br>This striking necklace showcases authentic Ancient Roman glass and stone beads in earthy green tones, dating back over 2,000 years to the Late Roman Republic and Early Roman Empire. The beads are elegantly set in a contemporary chrome-plated mounting, creating a harmonious fusion of ancient craftsmanship and modern design. The piece weighs approximately 5–8 grams, with a 17-inch faux leather string that provides a stylish yet durable display of this historic artifact.<br><br>Dimensions:<br><br>Total Weight of Beads with Mounting: Approx. 5–8 grams<br><br>String Length: 17 inches (Faux leather with chrome-plated setting)<br><br>Provenance:<br>The glass and stone beads originate from a carefully curated private collection of Roman antiquities. Expert verification ensures the authenticity of the materials, offering a genuine connection to the rich cultural heritage of the Roman Empire.<br><br>A Unique Collectible:<br>This Ancient Roman necklace is a true treasure for collectors and enthusiasts of antiquity. The combination of genuine ancient beads with a modern chrome-plated setting creates a wearable piece that celebrates both history and contemporary style. Its timeless design makes it a standout addition to any collection.<br><br>Please Note:<br>Although designed for modern wear, the piece should be handled with care to preserve the integrity of the ancient beads.<br><br>CUSTOMS<br>On orders outside the EU, a customs fee will be applied upon arrival in the buyer’s country.";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F98824468";"https://assets.catawiki.nl/assets/2025/9/20/d/b/5/db537c8c-e818-413c-bede-49b5c17d6a5f.jpg";"https://assets.catawiki.nl/assets/2025/9/20/0/d/5/0d529310-b434-4b98-b78e-afce1ac5f496.jpg";"https://assets.catawiki.nl/assets/2025/9/20/5/7/6/576bbb1b-fb6c-4707-a09b-3f8379b541c5.jpg";"98824468";"";"2025-11-09 17:06:25"
"Ancient Egyptian Bracelet made of Glass and Faience Mummy beads with decorative Melon Bead - 16.5 cm (No Reserve Price)";"IMPORTANT!<br>Due to new custom regulations we can no longer ship outside the E.U. Please make sure you have an EU shipping address before bidding.<br><br>- Strung on modern wire with Silver Lobster Lock (925).<br><br>- Total length: 16.5 cm. Average bead size: 3-4 mm.<br><br>Registered shipping.<br><br>Provenance/Known History:<br><br>Ancient Egyptian Faience Mummy beads: Ex William Ohly 1883-1955, Abbey Museum, New Barnet, by descent. After that A&O Gallery, UK.<br><br>Ancient Roman Glass beads: UK, London Art Market, 1990's. After that A&O Gallery, UK.<br><br>Important information:<br><br>- A declaration of authenticity by my shop is provided with this lot.<br><br>- Invoices, import- and export papers etc. will not be shared with customers.<br><br>- Please do not pay for a won item before you are finished bidding in the auction. The system will not be able to combine your orders into one shipping if all items aren't paid at once.";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F98928619";"https://assets.catawiki.nl/assets/2025/10/30/b/0/c/b0c9afda-fbfe-407e-8dcd-fee20205b2fa.jpg";"https://assets.catawiki.nl/assets/2025/10/30/b/4/8/b489fbf6-ab9f-4ba7-8559-11dae9ab9a61.jpg";"https://assets.catawiki.nl/assets/2025/10/30/3/5/a/35ace0d6-ca1a-4313-ae24-8ee824a8c6d7.jpg";"98928619";"";"2025-11-09 17:04:15"
"Ancient Egyptian Bracelet made of Glass and Faience Mummy beads with decorative Sun-disk amulet - 16.5 cm (No Reserve Price)";"IMPORTANT!<br>Due to new custom regulations we can no longer ship outside the E.U. Please make sure you have an EU shipping address before bidding.<br><br>- Strung on modern wire with Silver Lobster Lock (925).<br><br>- Total length: 16.5 cm. Average bead size: 3-4 mm.<br><br>Registered shipping.<br><br>Provenance/Known History:<br><br>Ancient Egyptian Faience Mummy beads: Ex William Ohly 1883-1955, Abbey Museum, New Barnet, by descent. After that A&O Gallery, UK.<br><br>Ancient Roman Glass beads: UK, London Art Market, 1990's. After that A&O Gallery, UK.<br><br>Ancient Egyptian Faience Sun-disk amulet: Ex. Private UK collection. Collected before 1970. After that A.A. Gallery, UK.<br><br>Important information:<br><br>- A declaration of authenticity by my shop is provided with this lot.<br><br>- Invoices, import- and export papers etc. will not be shared with customers.<br><br>- Please do not pay for a won item before you are finished bidding in the auction. The system will not be able to combine your orders into one shipping if all items aren't paid at once.";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F98928513";"https://assets.catawiki.nl/assets/2025/10/30/9/f/4/9f40bef2-3107-4da2-a9ef-17cfb4945364.jpg";"https://assets.catawiki.nl/assets/2025/10/30/4/b/7/4b772a35-a544-439b-9984-391b68014479.jpg";"https://assets.catawiki.nl/assets/2025/10/30/a/4/6/a46d715e-0da9-41ae-bb44-1bf759c1b7c4.jpg";"98928513";"";"2025-11-09 17:23:45"
"Ancient Roman Necklace with Roman glass beads";"Please note: due to customs regulations we can only ship inside the European Union. Please ensure you have a valid EU shipping address before placing a bid. <br><br>Handmade necklace with Roman glass beads in a classic linked design. The ancient beads are carefully restrung with modern fittings, making them suitable for modern wear while preserving their historical charm.<br><br>Linking chains to craft jewellery is one of the earliest known jewellery-making techniques, appearing across various ancient cultures. The oldest known example of a chain necklace was discovered in a royal tomb in Babylonia, dating back to around 2500 BC. <br><br>Length: ± 47 cm<br>Diameter beads: ± 5,7 mm maximum<br><br>Condition: good condition and wearable. The ancient beads are restrung and combined with modern gold-plated spacer beads and fittings. Signs of wear consistent with age and use. See images.<br>Composed with beads originating from various old collections, acquired in the UK between 2016-2024.<br><br>Every ancient bead shows subtle variations and signs of age, reflecting its history and adding to the unique charm of every composition.<br><br>Certificate of Authenticity (PDF) is available upon request for lots with a hammer price of €100 or higher.<br><br><br>ANCIENT GLASS<br>Glass has always been found in nature, but the humans first created glass about 4.000 years ago. when ancient craftsmen in Mesopotamia discovered the art of mixing sand, soda and lime to make glass.<br>For centuries, glass was a luxury item and reserved for the upper classes.<br><br>Glassmaking centers around the Mediterranean world experimented with new techniques (casting, core-forming, mosaic glass) and with colours by adding metallic oxides (cobalt, copper, etc) to the mixture.<br><br>The Romans learned the glass-making craft after the conquest of Egypt in the 1st century BC. During the 1st century AD the glassblowing technique revolutionized the production and made it possible to produce larger quantities. By adding manganese dioxide Roman glassmakers successfully produced colourless or ‘aqua’ glass for the first time.<br><br>Roman glass became a very popular material, used for beads, glass windows, mosaic tiles, tableware pieces etc. Roman glass was traded all over the Roman Empire and far beyond to Central Africa, Scandinavia and via the Silk Route to China.<br>";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F98885593";"https://assets.catawiki.nl/assets/2025/9/10/b/7/c/b7cadce8-a255-4573-80a2-ceb00568ec65.jpg";"https://assets.catawiki.nl/assets/2025/9/10/e/e/8/ee860b9a-9ace-4b16-8293-98faca135d8e.jpg";"https://assets.catawiki.nl/assets/2025/9/10/4/b/7/4b7a3b32-df60-4475-a881-f9d2ef7415c0.jpg";"98885593";"";"2025-11-09 17:21:35"
"Byzantine Silver, Stunning Text Cross Pendant";"SilverText Cross Pendant Byzantine 7-10 AD<br>Rare piece!!!!!<br><br>Weight: 3.11 grams<br>Height: 28.1 mm<br>Wide: 16.7 mm<br>Silver<br>See image for your own impression<br>Own private collection inherited from Grandfather, who built the collection in the 1960's """;"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F98889585";"https://assets.catawiki.nl/assets/2025/10/29/3/d/7/3d728a45-f65d-479b-9ab8-e0fb2b0c0590.jpg";"https://assets.catawiki.nl/assets/2025/10/29/9/e/e/9ee5096d-5414-450d-aeb9-f845ec811857.jpg";"https://assets.catawiki.nl/assets/2025/10/29/6/3/5/635ff89f-2c9f-41d3-9b47-eb60e33bd6ab.jpg";"98889585";"";"2025-11-09 17:56:15"
"Early Medieval/Byzantine Bronze Cross amulet with the 5 Wounds of Christ decorations on a Leather necklace - 42 cm (No Reserve Price)";"IMPORTANT!<br>Due to new custom regulations we can no longer ship outside the E.U. Please make sure you have an EU shipping address before bidding.<br><br>- Total length leather necklace but adjustable: 42 cm. Cross: 3 x 2 x 0.1 cm.<br><br>- This Bronze Cross was hand forged during the Middle Ages in the cradle of Christianity, the Byzantine Empire. The front side of this cross is decorated with 5 punched-dots, which represented the ""Five Wounds of Christ."" In AD 324, the first Christian Roman Emperor, Constantine the Great, transferred the Eastern Roman Empire capital to Byzantium which became Constantinople, known as ""New Rome."" The Byzantine Empire became centered on the capital of Constantinople and was ruled by Emperors in direct succession to the ancient Roman Emperors. With the eventual decline of Rome, the Church of Constantinople became the richest and most influential center of the Christian world.<br>The reign of Justinian the Great in 527-565 marked a blossoming of Byzantine culture with a building program that yielded such masterpieces as the cathedral church of the Holy Wisdom of God, Hagia Sophia. Justinian, who is considered a Saint in the Eastern Orthodox Church, created the authority of this Church, which firmly established Christianity throughout the Empire.<br>The Byzantines, who still referred to themselves as Romans, fought to shield Europe from Muslim expansion and were one of the most powerful economic, cultural and military forces in Europe and Asia Minor, existing for more than 1,000 years, until 1453. This one of a kind bronze cross was surely worn by a Byzantine citizen as a statement of faith during this amazing age of early Christendom.<br><br>Registered shipping.<br><br>Provenance/Known History:<br><br>Ex. Private UK collection. Collected before 1970. After that A.A. Gallery, UK.<br><br>Important information:<br><br>- A declaration of authenticity by my shop is provided with this lot.<br><br>- Invoices, import- and export papers etc. will not be shared with customers.<br><br>- Please do not pay for a won item before you are finished bidding in the auction. The system will not be able to combine your orders into one shipping if all items aren't paid at once.";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F98928267";"https://assets.catawiki.nl/assets/2025/10/30/a/9/4/a94a4b1f-566f-4c49-92f6-02917e8ede85.jpg";"https://assets.catawiki.nl/assets/2025/10/30/8/2/9/829020fc-c29d-45ac-9eb0-85b94de405de.jpg";"https://assets.catawiki.nl/assets/2025/10/30/c/1/7/c177cafc-decb-4fd5-84e3-804373acce4b.jpg";"98928267";"";"2025-11-09 18:00:35"
"Ancient Roman Carnelian Pendant, wire-wrapped";"Attention: due to customs regulations we can only ship inside the European Union. Please ensure you have a valid EU shipping address before placing a bid. <br><br>Pendant set with an authentic Roman carnelian bead, wire-wrapped and fitted with a handmade bail. The ancient bead, dating to the Roman period, has been re-mounted with modern fittings, making it suitable for modern wear while preserving its historical charm.<br><br>The wire-wrapping technique, dating back to around 2000 BC, was a favoured method among ancient jewellery makers of many ancient civilizations. Renowned for its versatility and durability, this technique was cherished throughout history for creating intricate and timeless designs.<br><br>Length: ± 35 mm (including bail) <br><br>Condition: good condition and wearable. The ancient bead is restrung and combined with modern materials and fittings. Signs of wear consistent with age and use. See images.<br>Composed with beads originating from various old collections, acquired in the UK between 2016-2024.<br><br>Every ancient bead shows subtle variations and signs of age, reflecting its history and adding to the unique charm of every composition.<br><br>Certificate of Authenticity (PDF) is available upon request.<br><br><br>CARNELIAN stone was treasured throughout the Greco-Roman antiquity. Like the Egyptians they believed carnelian had magical powers; it was believed it could ward off evil, help the blood circulation and make the skin look healthy and youthful. <br>Carnelian was often worn by Roman soldiers to boost their courage, vitality, confidence and physical powers. For women it was especially worn to improve fertility, cure frigidity and to help strengthen the body before and after childbirth. <br>";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F99078791";"https://assets.catawiki.nl/assets/2025/8/28/2/c/b/2cb0e9d8-db9f-428e-8a02-e00e0ae08f12.jpg";"https://assets.catawiki.nl/assets/2025/8/28/d/3/e/d3efc06c-38b3-4963-9d4b-ec7e8f0f293d.jpg";"https://assets.catawiki.nl/assets/2025/8/28/3/f/d/3fd34b4b-20ee-4a35-9abb-e4c8d067c002.jpg";"99078791";"1";"2025-11-16 17:04:15"
"Ancient Roman Bracelet, with Roman glass beads";"Attention: due to customs regulations we can only ship inside the European Union. Please ensure you have a valid EU shipping address before placing a bid. <br><br>Handcrafted bracelet featuring Roman green glass beads in a timeless linked design. The authentic ancient beads are restrung with modern fittings, combining historical charm with contemporary wearability.<br><br>Linking chains to craft jewellery is one of the earliest known jewellery-making techniques, appearing across various ancient cultures. The oldest known example of a chain necklace was discovered in a royal tomb in Babylonia, dating back to around 2500 BC. <br><br>Length: ± 23 cm<br>Diameter beads: ± 7,5 mm maximum<br><br>Condition: good condition and wearable, generous sized bracelet. The ancient beads are restrung and combined with modern gold-plated spacer beads and fittings. Signs of wear consistent with age and use. See images.<br>Composed with beads originating from various old collections, acquired in the UK between 2016-2024.<br><br>Every ancient bead shows subtle variations and signs of age, reflecting its history and adding to the unique charm of every composition.<br><br>Certificate of Authenticity (PDF) is available upon request.<br><br><br>ANCIENT GLASS<br>Glass has always been found in nature, but the humans first created glass about 4.000 years ago. when ancient craftsmen in Mesopotamia discovered the art of mixing sand, soda and lime to make glass.<br>For centuries, glass was a luxury item and reserved for the upper classes.<br><br>Glassmaking centers around the Mediterranean world experimented with new techniques (casting, core-forming, mosaic glass) and with colours by adding metallic oxides (cobalt, copper, etc) to the mixture.<br><br>The Romans learned the glass-making craft after the conquest of Egypt in the 1st century BC. During the 1st century AD the glassblowing technique revolutionized the production and made it possible to produce larger quantities. By adding manganese dioxide Roman glassmakers successfully produced colourless or ‘aqua’ glass for the first time.<br><br>Roman glass became a very popular material, used for beads, glass windows, mosaic tiles, tableware pieces etc. Roman glass was traded all over the Roman Empire and far beyond to Central Africa, Scandinavia and via the Silk Route to China.<br>";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F99083291";"https://assets.catawiki.nl/assets/2025/9/10/b/2/e/b2e8efa2-19a9-466f-a647-480f8720fb7d.jpg";"https://assets.catawiki.nl/assets/2025/9/10/3/2/9/3296f9d4-71f9-4e70-9d9a-c87cc177f921.jpg";"https://assets.catawiki.nl/assets/2025/9/10/6/4/7/647a8024-2b1a-4fb9-8b8f-420bb8d0c87a.jpg";"99083291";"115";"2025-11-16 17:51:55"
"Ancient Egyptian Necklace made of Turquoise and Faience Mummy beads with Toth amulet - 45 cm (No Reserve Price)";"IMPORTANT!<br>Due to new custom regulations we can no longer ship outside the E.U. Please make sure you have an EU shipping address before bidding.<br><br>- Strung on modern wire with Silver Lobsterlock(925).<br><br>- Total length: 45 cm. Hanger 2,2 cm. Average bead size: 3-4 mm.<br><br>- Amulets often represent deities in order to invoke their protection and specific powers. Such amulets were used by the living and often placed on mummies as well. The piece here depicts the god Thoth as a man with an ibis-head. Thoth was the god of knowledge and writing, and he was thought to have healing powers. Thoth amulets were popular mummy amulets, which possibly relates to his healing powers and to his role as recorder of the final judgment, in which it was determined if the deceased had lived a virtuous life.<br><br>- See last picture as a parallel: https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.metmuseum.org%2Fart%2Fcollection%2Fsearch%2F552980<br><br>Registered shipping.<br><br>Provenance/Known History:<br><br>Ancient Egyptian Faience Mummy beads: Ex William Ohly 1883-1955, Abbey Museum, New Barnet, by descent. After that A&O Gallery, UK.<br><br>Ancient Egyptian Turquoise beads: Ex. Private UK collection. Collected before 1970. After that J.T.O., The Netherlands.<br><br>Ancient Egyptian Faience Thoth amulet: Ex. Private UK collection. Collected before 1970. After that A.A. Gallery, UK.<br><br>Important information:<br><br>- A declaration of authenticity by my shop is provided with this lot.<br><br>- Invoices, import- and export papers etc. will not be shared with customers.<br><br>- Please do not pay for a won item before you are finished bidding in the auction. The system will not be able to combine your orders into one shipping if all items aren't paid at once.";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F99084573";"https://assets.catawiki.nl/assets/2025/11/6/8/1/b/81b70235-bcfe-40ef-b66a-ddcfb9f9687e.jpg";"https://assets.catawiki.nl/assets/2025/11/6/6/9/b/69b2eef8-2624-4791-8fb6-f5e90ef622f8.jpg";"https://assets.catawiki.nl/assets/2025/11/6/4/e/2/4e284452-f823-4234-b0b3-724c39f31aa5.jpg";"99084573";"6";"2025-11-16 17:07:30"
"Ancient Roman, Empire Ring with Roman decorated blue glass bead (No Reserve Price)";"Please note: due to customs regulations we can only ship inside the European Union. Please ensure you have a valid EU shipping address before placing a bid. <br><br>Ring with a decorated Roman blue glass bead. The ancient bead is set on a modern gold-plated ring and is partly free to rotate (swivel-type).<br><br>Outside diameter: ± 24,1 mm<br>Inside diameter: ± 17,6 - 21,1 mm<br>Diameter bead: ± 4,8 mm<br><br>Condition: good condition and wearable. The ancient bead is combined with modern gold-plated spacer beads and fittings. Signs of wear consistent with age and use. See images.<br><br>Every ancient bead shows subtle variations and signs of age, reflecting its history and adding to the unique charm of every composition.<br><br>Certificate of Authenticity (PDF) is available upon request for lots with a hammer price of €100 or higher.<br><br><br>ANCIENT GLASS<br>Glass has always been found in nature, but the humans first created glass about 4.000 years ago. when ancient craftsmen in Mesopotamia discovered the art of mixing sand, soda and lime to make glass.<br>For centuries, glass was a luxury item and reserved for the upper classes.<br><br>Glassmaking centers around the Mediterranean world experimented with new techniques (casting, core-forming, mosaic glass) and with colours by adding metallic oxides (cobalt, copper, etc) to the mixture.<br><br>The Romans learned the glass-making craft after the conquest of Egypt in the 1st century BC. During the 1st century AD the glassblowing technique revolutionized the production and made it possible to produce larger quantities. By adding manganese dioxide Roman glassmakers successfully produced colourless or ‘aqua’ glass for the first time.<br><br>Roman glass became a very popular material, used for beads, glass windows, mosaic tiles, tableware pieces etc. Roman glass was traded all over the Roman Empire and far beyond to Central Africa, Scandinavia and via the Silk Route to China.<br>";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F99078725";"https://assets.catawiki.nl/assets/2025/6/22/1/c/3/1c36faa6-fa0e-4f12-bc97-0bf3ab9f2bea.jpg";"https://assets.catawiki.nl/assets/2025/6/22/8/a/6/8a6c4272-30fb-4974-b42d-acf80a3b520d.jpg";"https://assets.catawiki.nl/assets/2025/6/22/d/9/c/d9c4a237-e957-452f-9faa-9a987da6dacf.jpg";"99078725";"27";"2025-11-16 17:27:00"
"Ancient Roman Necklace with wire-wrapped Roman blue glass beads and spiral details";"Attention: due to customs regulations we can only ship inside the European Union. Please ensure you have a valid EU shipping address before placing a bid. <br><br>A handmade pendant with wire-wrapped Roman blue glass beads and spiral details. The pendant is attached on a modern jasseron necklace, making it suitable for modern wear.<br>The pendant will be delivered in a jewellery box, a perfect gift for any occasion.<br><br>The wire-wrapping technique, dating back to around 2000 BC, was a favoured method among ancient jewellery makers of many ancient civilizations. Renowned for its versatility and durability, this technique was cherished throughout history for creating intricate and timeless designs.<br><br>Length: ± 47 cm<br>Length pendant: ± 53 mm<br><br>Condition: good condition and wearable. The ancient beads are restrung and combined with modern gold-plated spacer beads and fittings. Signs of wear consistent with age and use. See images.<br>Composed with beads originating from various old collections, acquired in the UK between 2016-2024.<br><br>Every ancient bead shows subtle variations and signs of age, reflecting its history and adding to the unique charm of every composition.<br><br>Certificate of Authenticity (PDF) is available upon request.<br><br><br>SPIRAL<br>The spiral is one of the oldest symbols of human spirituality. Spiral motifs appear in ancient carvings and painted rock art dating back thousands of years The infinite, twisting spiral was a favourite of the ancient Greeks and Celts and has continued to influence artists, thinkers and designers for millennia. <br><br>It is thought to represent growth, expansion, cosmic energy and a symbol of the sun, and it has been suggested to be linked to birth or rebirth. Spirals have been found in burial sites, in vases, in jewellery, clothing, weapons and buildings. <br><br>Throughout history, the spiral has been a highly valued design in Roman, Anglo-Saxon, and Viking art, and continues to be appreciated to this day.<br><br><br>ANCIENT GLASS<br>Glass has always been found in nature, but the humans first created glass about 4.000 years ago. when ancient craftsmen in Mesopotamia discovered the art of mixing sand, soda and lime to make glass.<br>For centuries, glass was a luxury item and reserved for the upper classes.<br><br>Glassmaking centers around the Mediterranean world experimented with new techniques (casting, core-forming, mosaic glass) and with colours by adding metallic oxides (cobalt, copper, etc) to the mixture.<br><br>The Romans learned the glass-making craft after the conquest of Egypt in the 1st century BC. During the 1st century AD the glassblowing technique revolutionized the production and made it possible to produce larger quantities. By adding manganese dioxide Roman glassmakers successfully produced colourless or ‘aqua’ glass for the first time.<br><br>Roman glass became a very popular material, used for beads, glass windows, mosaic tiles, tableware pieces etc. Roman glass was traded all over the Roman Empire and far beyond to Central Africa, Scandinavia and via the Silk Route to China.<br>";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F99083184";"https://assets.catawiki.nl/assets/2025/9/9/8/d/5/8d5ec9cb-8e81-4c09-8104-9c3bb68d8c87.jpg";"https://assets.catawiki.nl/assets/2025/9/9/d/1/6/d160f45a-8da4-4081-8b10-39256fc028ea.jpg";"https://assets.catawiki.nl/assets/2025/9/9/1/6/8/16869f0f-a4f2-473d-b5ff-7824b0cfecfc.jpg";"99083184";"1";"2025-11-16 17:45:25"
"Over 600 ancient mummy beads (swiss collection before 1972) - Egypt (No Reserve Price)";"During ancient Egyptian times, virtually everyone wore beads, male, female, young and old. The Egyptian word for luck was ""sha"", ""sha sha"" meant bead. Beads were worn to protect the wearer from misfortune. Some mummies were buried with thousands of beads! Egyptians believed that these beads would give them comfort in the afterlife.<br><br>These mummy beads were crafted ca 2500 years ago in Egypt out of faience. The faience paste was rolled around a string and cut into thin discs or tubular shapes.<br><br>These ancient beads come with a COA ( Certificate of Authenticity) stating the provenance (Swiss Collection before 1972).<br><br>- Over 600 ancient Egyptian faience beads. 100 beads make lots of earrings or a bracelet <br>- Colors: shades of green and blue with some browns and greys<br>- Size: ca 1-12 mm, most are around 4 mm<br>- The beads are datable 664-332 B.C, very good condition according with age and use. <br>- The beads will be carefully wrapped.";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F98941925";"https://assets.catawiki.nl/assets/2025/10/31/3/c/9/3c9649bb-81a2-4458-b955-c9069cb90231.jpg";"https://assets.catawiki.nl/assets/2025/10/31/0/c/7/0c755903-eb0d-4f01-9b68-4cef9c674bf5.jpg";"https://assets.catawiki.nl/assets/2025/10/31/4/5/1/451bcebc-c306-46a3-a4fd-2e6ed59c38c0.jpg";"98941925";"35";"2025-11-16 17:22:40"
"Chinese–Siberian Big purchase Perlentalisman - 47 mm (No Reserve Price)";"A rare talisman made from natural banded agate beads from the ancient Chinese-Siberian culture, 1st millennium AD or older.<br><br>In good condition. It was cleaned in a tumbler, so its surface is shiny and smooth. Original, antique, hand-cut, carved, and polished. The holes are antique, handmade, irregular, funnel-shaped. Signs of use and age on its surface.<br><br>Mid-1990s in Budapest, purchased by Dr. Zelnik from the collection of a former ambassador to Mongolia.<br><br>Important information:<br><br>The seller guarantees that they are authorized to ship this item. Due to the complicated cultural laws, we can only ship this item within the EU and to the United Kingdom or Switzerland.<br><br>Provenance:<br><br>This article comes from the collection of Dr. István Zelnik, which is the result of over 50 years of collecting.<br>Former diplomat, collector of Asian art, researcher.<br><br>Publications:<br><br>More than 20 essays on Southeast Asian politics and economics.<br>Co-author of 10 albums and books on Southeast Asian art.";"Archaeology";"https://prf.hn/click/camref:1100l5ti9K/creativeref:1100l187865/destination:https%3A%2F%2Fwww.catawiki.com%2Fen%2Fl%2F98778936";"https://assets.catawiki.nl/assets/2025/6/2/9/6/f/96fef3b8-979b-4adf-af18-3386c9e1300b.jpg";"https://assets.catawiki.nl/assets/2025/6/2/0/d/c/0dc9cff6-d8c8-44e1-a899-b323fdf5e966.jpg";"https://assets.catawiki.nl/assets/2025/6/2/3/d/2/3d21c2da-cf98-4081-b771-6b70122da4a1.jpg";"98778936";"1";"2025-11-16 17:57:20"
